epoch,loss,test_mse,elapsed_s,eta_s
0,789031488.0,1.142133,10,20747
25,418368640.0,0.987144,151,11446
50,206039408.0,0.386449,292,11178
75,60145724.0,0.100232,435,11013
100,25511102.0,0.058253,579,10890
125,20288300.0,0.042553,725,10782
150,19031296.0,0.040935,870,10659
175,19404740.0,0.033900,1016,10531
200,15549566.0,0.032993,1163,10407
225,16063358.0,0.036250,1309,10277
250,16806484.0,0.028837,1455,10139
275,13427823.0,0.027150,1601,10003
300,12028001.0,0.029200,1747,9863
325,12421265.0,0.023466,1895,9730
350,10239385.0,0.025514,2041,9590
375,11284381.0,0.028731,2188,9451
400,12431227.0,0.021751,2335,9312
425,9458800.0,0.020621,2484,9180
