epoch,loss,test_mse,elapsed_s,eta_s
0,797345792.0,1.089583,9,18913
25,424032608.0,0.938821,148,11249
50,212580880.0,0.377799,287,10976
75,63334724.0,0.100636,428,10842
100,26115230.0,0.041827,570,10715
125,18166198.0,0.032443,712,10596
150,14372451.0,0.026901,855,10474
175,12071562.0,0.024297,998,10348
200,10278482.0,0.021219,1143,10230
225,9063605.0,0.019739,1286,10098
250,7924630.5,0.017458,1430,9963
275,7074362.5,0.016582,1576,9841
300,6255953.0,0.014656,1723,9723
325,5622186.0,0.014131,1868,9594
350,5014378.0,0.012446,2014,9462
375,4528335.0,0.012083,2160,9330
400,4004191.5,0.010707,2307,9201
425,3671224.8,0.010338,2455,9070
450,3185248.2,0.009281,2603,8940
475,2994775.0,0.008830,2752,8812
500,2497231.5,0.008093,2902,8684
525,2401488.8,0.007629,3052,8551
550,1933242.0,0.007092,3201,8419
575,1880355.0,0.006752,3351,8284
600,1532162.4,0.006147,3502,8151
625,1393527.9,0.006245,3652,8015
650,1273527.5,0.005255,3800,7875
675,946746.0,0.006036,3950,7737
700,1118765.2,0.004445,4102,7602
725,522477.2,0.006146,4254,7465
750,1076363.8,0.003729,4407,7329
775,9367767.0,0.004609,4559,7191
800,4634694.0,0.013448,4711,7051
825,4118528.8,0.035014,4864,6913
850,11671432.0,0.026007,5018,6775
875,9392036.0,0.005513,5171,6635
900,1480513.5,0.020245,5325,6496
925,5695593.5,0.041190,5480,6356
950,12904507.0,0.032150,5635,6216
975,9971515.0,0.008368,5788,6073
1000,2006682.5,0.012707,5943,5931
1025,4320250.5,0.029531,6100,5791
1050,10588527.0,0.023519,6258,5650
1075,8323737.0,0.005904,6415,5509
1100,1649470.0,0.014116,6568,5363
1125,4286901.0,0.030816,6724,5219
1150,10282997.0,0.025915,6878,5074
1175,8544059.0,0.007802,7033,4928
1200,2125006.5,0.008550,7187,4781
1225,2699962.8,0.019861,7341,4634
1250,6953318.0,0.015203,7494,4487
1275,5220581.5,0.003614,7648,4339
1300,811861.8,0.015251,7802,4192
1325,4801800.0,0.030976,7957,4045
1350,10418188.0,0.026307,8112,3897
1375,8653227.0,0.008513,8267,3749
1400,2290158.0,0.005421,8426,3603
1425,1641310.2,0.014193,8583,3455
1450,5061488.5,0.011150,8737,3306
1475,3860336.5,0.002660,8893,3157
1500,457380.8,0.013375,9050,3008
1525,3993196.8,0.026411,9207,2860
1550,8632147.0,0.021947,9363,2710
1575,7044616.5,0.006823,9520,2561
1600,1699286.4,0.004719,9674,2411
1625,1301073.4,0.012459,9829,2261
1650,4318158.0,0.009831,9984,2111
1675,3252697.2,0.002235,10140,1960
1700,226330.0,0.011214,10298,1810
1725,3197588.8,0.022441,10453,1659
1750,7202859.5,0.018619,10608,1508
1775,5851342.5,0.005652,10763,1358
1800,1236007.5,0.004200,10919,1207
1825,1000783.1,0.011181,11076,1055
1850,3715545.8,0.008860,11233,904
1875,2785826.8,0.001962,11391,753
1900,33528.4,0.009524,11548,601
1925,2562190.8,0.019432,11706,450
1950,6113486.0,0.016139,11864,298
1975,4919432.0,0.004770,12023,146
1999,4829918.5,0.004695,12175,0
