epoch,loss,test_mse,elapsed_s,eta_s
0,934769152.0,1.142103,10,20917
25,491748416.0,0.989204,188,14311
50,239088016.0,0.387387,367,14037
75,71224080.0,0.101422,548,13877
100,30267612.0,0.043388,731,13736
125,21123490.0,0.032716,913,13579
150,16713523.0,0.028642,1095,13414
175,13841494.0,0.024422,1279,13250
200,11959049.0,0.022317,1462,13083
225,10248298.0,0.019674,1645,12914
