epoch,loss,test_mse,elapsed_s,eta_s
0,956329344.0,1.009388,9,18525
25,510955968.0,0.870273,148,11257
50,258438848.0,0.333978,291,11109
75,76028480.0,0.093589,435,11014
100,36546944.0,0.044441,576,10839
125,23695886.0,0.030645,724,10773
150,23773326.0,0.026915,870,10652
175,22048284.0,0.026218,1013,10498
200,16938758.0,0.033520,1162,10404
225,18637944.0,0.047895,1308,10265
250,24281852.0,0.043110,1456,10144
275,22167698.0,0.026896,1602,10004
