epoch,loss,test_mse,elapsed_s,eta_s
0,943082816.0,1.089600,10,20558
25,497739648.0,0.941777,185,14025
50,246260304.0,0.380794,360,13741
75,73905416.0,0.100755,536,13576
100,34514204.0,0.050996,714,13424
125,23736814.0,0.033151,892,13269
150,21917176.0,0.029847,1071,13109
175,18667752.0,0.025734,1250,12953
200,16604085.0,0.024367,1429,12789
225,15791548.0,0.029583,1609,12626
